               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041365,            0.061092,          0.00098683,             0.92319,             0.87075,             0.92715,              0.5722,            0.037417,            0.059011,           0.0012061,             0.00769,             0.00769,             0.00769
                  37,            0.041645,            0.062358,           0.0010243,              0.9174,             0.86438,             0.92606,             0.57507,            0.037379,            0.058898,           0.0010954,            0.007624,            0.007624,            0.007624
                  38,            0.041654,            0.061641,            0.001025,             0.92578,             0.85973,             0.92537,             0.57566,            0.037258,            0.058841,           0.0011518,            0.007558,            0.007558,            0.007558
                  39,            0.041392,             0.06159,          0.00092407,             0.92408,             0.86256,             0.92725,             0.57752,             0.03717,            0.058603,           0.0012136,            0.007492,            0.007492,            0.007492
                  40,            0.041172,            0.061003,          0.00098818,             0.91778,              0.8727,             0.92547,             0.57676,            0.037134,            0.058736,           0.0012298,            0.007426,            0.007426,            0.007426
                  41,            0.041367,            0.061956,          0.00093571,             0.91107,             0.87167,             0.92643,              0.5785,            0.037129,            0.058734,           0.0011283,             0.00736,             0.00736,             0.00736
                  42,            0.041303,            0.061139,          0.00093823,             0.91211,             0.88014,              0.9277,             0.57989,            0.037112,            0.058634,           0.0010868,            0.007294,            0.007294,            0.007294
                  43,            0.041147,             0.06099,          0.00094444,             0.93282,             0.87383,             0.93277,             0.58387,            0.036971,            0.058391,            0.001113,            0.007228,            0.007228,            0.007228
                  44,            0.041078,            0.061146,          0.00093493,             0.92832,             0.86735,             0.93208,              0.5817,            0.037145,            0.058626,           0.0010763,            0.007162,            0.007162,            0.007162
                  45,            0.041156,            0.062433,          0.00091634,             0.92702,             0.87349,             0.93068,              0.5833,            0.036969,            0.058561,           0.0012539,            0.007096,            0.007096,            0.007096
                  46,            0.040941,            0.061201,          0.00085969,              0.9227,             0.86598,             0.93057,             0.58473,            0.037015,            0.058574,           0.0012246,             0.00703,             0.00703,             0.00703
                  47,            0.040859,            0.061169,          0.00091364,             0.92414,             0.87362,             0.93044,             0.58336,            0.037055,            0.058521,           0.0010622,            0.006964,            0.006964,            0.006964
                  48,            0.040695,            0.060199,          0.00084438,             0.92008,             0.87479,             0.93181,             0.58326,            0.036874,             0.05857,           0.0010464,            0.006898,            0.006898,            0.006898
                  49,            0.040661,            0.060569,          0.00093746,             0.91623,             0.87827,             0.93109,             0.58645,            0.036685,            0.058413,           0.0010225,            0.006832,            0.006832,            0.006832
                  50,            0.040828,            0.062395,          0.00079655,             0.92027,             0.88022,             0.93426,             0.58769,            0.036635,            0.058231,           0.0012484,            0.006766,            0.006766,            0.006766
                  51,            0.040575,            0.060319,          0.00080066,             0.91651,             0.88462,             0.93397,             0.58912,            0.036529,            0.058068,           0.0011254,              0.0067,              0.0067,              0.0067
                  52,            0.040396,            0.061001,          0.00083722,             0.93197,             0.87214,             0.93179,             0.58698,            0.036645,             0.05829,           0.0010652,            0.006634,            0.006634,            0.006634
                  53,            0.040207,             0.06052,          0.00078741,             0.92289,             0.88344,             0.93509,             0.59037,            0.036514,            0.058037,           0.0010993,            0.006568,            0.006568,            0.006568
                  54,            0.040619,            0.060533,           0.0008569,              0.9288,             0.87547,             0.93332,             0.58777,            0.036608,            0.058199,           0.0010632,            0.006502,            0.006502,            0.006502
                  55,            0.040278,            0.060974,          0.00081856,             0.92925,             0.87217,             0.93644,             0.59062,            0.036506,            0.057915,           0.0010733,            0.006436,            0.006436,            0.006436
                  56,            0.040189,             0.06013,           0.0007821,             0.92371,              0.8828,             0.93672,             0.59278,            0.036361,            0.057871,           0.0011356,             0.00637,             0.00637,             0.00637
                  57,            0.039878,            0.059765,          0.00077293,             0.92522,             0.87965,             0.93256,             0.59143,            0.036428,            0.057965,           0.0011193,            0.006304,            0.006304,            0.006304
                  58,            0.039922,            0.060713,          0.00072631,             0.92972,             0.87768,             0.93163,             0.59194,            0.036329,            0.057823,           0.0011211,            0.006238,            0.006238,            0.006238
                  59,            0.040168,            0.060319,          0.00075628,             0.92519,             0.87289,             0.93366,             0.59178,             0.03638,            0.057938,           0.0011076,            0.006172,            0.006172,            0.006172
                  60,            0.040072,            0.060104,          0.00075684,             0.92815,              0.8742,             0.93429,             0.59278,            0.036344,            0.057825,           0.0010961,            0.006106,            0.006106,            0.006106
                  61,            0.039754,            0.060203,          0.00073442,             0.92147,             0.88021,             0.93233,             0.59125,            0.036274,             0.05783,           0.0012274,             0.00604,             0.00604,             0.00604
                  62,            0.039699,             0.06033,          0.00074183,               0.925,             0.87581,             0.93549,             0.59417,            0.036299,            0.057865,           0.0011123,            0.005974,            0.005974,            0.005974
                  63,            0.039671,            0.060157,          0.00068579,             0.91748,             0.88751,             0.93556,             0.59514,            0.036289,            0.057839,           0.0010836,            0.005908,            0.005908,            0.005908
                  64,            0.039975,            0.060298,          0.00070664,             0.92634,             0.87638,             0.93492,             0.59627,            0.036195,            0.057709,           0.0011609,            0.005842,            0.005842,            0.005842
                  65,            0.039822,            0.059852,          0.00072719,             0.91802,             0.88556,              0.9363,             0.59433,            0.036179,            0.057746,           0.0011362,            0.005776,            0.005776,            0.005776
                  66,            0.039622,            0.060002,          0.00072432,             0.92394,             0.88501,             0.93582,             0.59644,            0.036161,             0.05764,           0.0011178,             0.00571,             0.00571,             0.00571
                  67,            0.039597,            0.059539,          0.00072232,             0.92702,             0.87985,             0.93655,             0.59645,            0.036117,            0.057724,           0.0010898,            0.005644,            0.005644,            0.005644
                  68,             0.03939,            0.059628,           0.0006799,             0.92818,             0.88492,             0.93831,             0.59862,            0.036061,            0.057581,           0.0010597,            0.005578,            0.005578,            0.005578
                  69,              0.0395,            0.059534,          0.00069022,             0.92292,             0.88954,             0.93693,             0.59825,            0.036086,            0.057654,           0.0010462,            0.005512,            0.005512,            0.005512
                  70,            0.039267,            0.058091,          0.00071549,             0.92855,              0.8855,             0.93681,             0.59778,            0.036049,            0.057616,           0.0010746,            0.005446,            0.005446,            0.005446
                  71,            0.039359,            0.059843,          0.00062193,             0.92679,             0.88762,             0.93885,             0.60072,               0.036,            0.057475,           0.0011231,             0.00538,             0.00538,             0.00538
                  72,            0.039534,            0.059206,          0.00065161,             0.92451,             0.88988,             0.93798,             0.60092,            0.035967,            0.057461,           0.0011995,            0.005314,            0.005314,            0.005314
                  73,            0.039373,             0.05882,          0.00061189,             0.92862,             0.88823,             0.94009,             0.60091,            0.036048,            0.057576,           0.0011367,            0.005248,            0.005248,            0.005248
